site_reference,name_address,hectares,planning_status,lon,lat
68682,"2A Havelock Place & 2 Grove Place, Shelton, Stoke-on-Trent, ST1 4PR",0.02,permissioned,-2.1836089999999997,53.018401
65114,"15-27 Belgrave Road, Dresden, Stoke-on-Trent, ST3 4PP",0.02,permissioned,-2.1352460000000004,52.979625
59041,"59 Gilman Street, Hanley, Stoke-on-Trent, ST1 3PL",0.02,permissioned,-2.170766000000001,53.024218999999995
69031,"The White Hart, 13 Westport Road, Burslem, Stoke-on-Trent, ST6 4AH",0.02,permissioned,-2.200223,53.04553
68645,"130 High Street, Tunstall, Stoke-on-Trent, ST6 5XX",0.02,permissioned,-2.209908,53.058113
69145,"1A Ashford Street, Shelton, Stoke-on-Trent, ST4 2EH",0.02,permissioned,-2.183087,53.011328
65232,"Ye Olde Smithy, 54-56 Moorland Road, Burslem, Stoke-on-Trent, ST6 1DT",0.02,permissioned,-2.1941579999999994,53.04611299999999
63663,"130 High Street, Tunstall, Stoke-on-Trent, ST6 5XX",0.02,permissioned,-2.209908,53.058113
67179,"24-26 Stafford Street, Hanley, Stoke-on-Trent, ST1 1JQ",0.02,permissioned,-2.1754970000000005,53.02502899999999
57972,"17/19 Glebe Street, Stoke On Trent, ST4 1JG",0.02,permissioned,-2.182591999999999,53.00394300000001
59194,"193/195 Uttoxeter Road, Stoke-on-Trent, ST3 1QN",0.01,permissioned,-2.124703,52.984236
62377,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent, ST1 5HE",0.01,not-permissioned,-2.1773440000000006,53.02615199999999
