bsi,ndvi
-0.31105,0.67673
-0.25928,0.60555
-0.17828,0.6053
-0.06915,0.42583
-0.1859,0.56891
-0.20946,0.54209
0.0124,0.36755
-0.24647,0.56646
0.02547,0.22579
-0.15352,0.51503
-0.14734,0.49916
0.09896,0.12529
-0.24477,0.62024
0.03936,0.12436
-0.13868,0.49962
-0.1216,0.51088
-0.24049,0.55994
-0.17309,0.53431
0.0295,0.1026
-0.01384,0.24215
0.01453,0.34293
-0.22759,0.62092
-0.0338,0.37926
-0.29592,0.60425
0.08789,0.26201
-0.02325,0.37761
-0.28367,0.63677
-0.12666,0.5277
0.004,0.27065
-0.194,0.56776
-0.32684,0.68993
-0.1239,0.49189
-0.19506,0.58085
-0.30715,0.6642
-0.18239,0.56117
-0.19726,0.59087
0.05128,0.06029
-0.16829,0.55103
-0.19368,0.58459
-0.25042,0.63805
-0.02511,0.33333
-0.27,0.62964
0.07385,0.16824
0.02264,0.22675
-0.35498,0.64506
-0.20089,0.58454
-0.23764,0.62581
-0.32024,0.67195
-0.09051,0.4171
-0.16968,0.55902
-0.14096,0.56136
-0.22595,0.5702
-0.06641,0.38324
-0.23294,0.54909
-0.11737,0.50542
-0.21188,0.52953
-0.01552,0.32711
0.0577,0.0804
0.01454,0.26491
-0.13954,0.52958
-0.23278,0.58107
-0.06657,0.40312
-0.32053,0.63477
-0.3117,0.59911
0.10094,0.10078
-0.06938,0.4186
-0.28899,0.64837
-0.21316,0.61182
-0.15738,0.54336
0.00352,0.20175
-0.28976,0.60084
0.00695,0.23395
-0.20645,0.57484
-0.30295,0.66399
-0.2769,0.64643
-0.3215,0.68235
-0.25013,0.60241
0.02701,0.11916
-0.15676,0.54194
0.09365,0.09953
-0.25095,0.64658
0.11113,0.10975
0.04758,0.15769
-0.04393,0.30522
-0.10155,0.39066
-0.01535,0.3558
-0.22597,0.6385
0.0377,0.25475
0.07639,0.07746
-0.17647,0.55291
0.01186,0.38625
-0.10751,0.47274
-0.19027,0.51521
-0.01612,0.28585
-0.22684,0.63006
-0.19859,0.60765
0.07022,0.06336
-0.07084,0.37468
-0.23562,0.62773
0.03341,0.10543
-0.26152,0.64801
0.02,0.17151
-0.17902,0.52428
-0.2596,0.59596
-0.27207,0.57098
-0.30643,0.64586
-0.13893,0.49946
-0.27123,0.65146
-0.17989,0.55389
-0.23954,0.6235
-0.24657,0.63689
-0.31445,0.66287
-0.26813,0.58788
-0.22693,0.56469
-0.08215,0.48478
-0.24,0.56765
-0.0745,0.45159
0.02784,0.12557
-0.1727,0.58356
-0.16843,0.58747
-0.0818,0.45248
-0.25167,0.63921
-0.13352,0.54054
-0.05038,0.42228
-0.22209,0.63778
-0.18937,0.57847
-0.25482,0.61933
-0.07221,0.43979
-0.17583,0.5633
-0.15784,0.55875
-0.18756,0.57336
-0.27209,0.64212
0.01268,0.28036
-0.25443,0.63277
-0.23955,0.60399
-0.01894,0.25994
-0.27713,0.65143
-0.12198,0.55502
-0.2034,0.59289
-0.15288,0.55307
-0.31592,0.63373
0.06529,0.18232
0.09316,0.07191
-0.24094,0.6053
-0.25881,0.60579
-0.2156,0.54712
-0.288,0.62391
-0.25275,0.60841
0.06585,0.17946
-0.22252,0.56655
-0.26685,0.60702
-0.13126,0.48871
-0.02743,0.32454
0.0015,0.24459
-0.15754,0.55048
-0.13883,0.47334
-0.11911,0.51589
-0.02357,0.25103
-0.22779,0.59692
-0.23887,0.6354
-0.11335,0.42263
-0.14411,0.54055
-0.19095,0.59594
-0.25756,0.64042
-0.22265,0.61154
-0.09578,0.38512
-0.23159,0.61269
-0.28702,0.66646
-0.1314,0.52628
-0.18089,0.60548
-0.28778,0.64998
-0.13952,0.50538
-0.2772,0.65672
-0.16667,0.51127
-0.19617,0.60244
-0.31176,0.60996
-0.06562,0.44099
-0.20333,0.5908
-0.3179,0.68078
0.04026,0.17684
-0.18136,0.56693
0.08855,0.1046
-0.22132,0.59155
0.01292,0.14884
-0.23961,0.57355
-0.0799,0.43609
-0.13137,0.55193
-0.13281,0.51499
-0.20487,0.54567
-0.00542,0.26051
-0.22511,0.61505
0.04107,0.15921
-0.12825,0.51402
-0.27317,0.65136
-0.21389,0.54993
0.0,0.2681
-0.23344,0.61066
-0.2099,0.60347
-0.13506,0.42761
-0.28328,0.6757
0.04779,0.13939
-0.22099,0.61044
-0.22703,0.60598
-0.09727,0.38073
-0.31925,0.66906
-0.30935,0.62381
-0.21911,0.6172
-0.17389,0.58654
-0.13669,0.5653
-0.16245,0.53125
-0.1284,0.51818
0.03581,0.15417
-0.1409,0.49235
-0.23643,0.64191
-0.11123,0.49455
-0.20612,0.55484
-0.15335,0.51917
-0.38486,0.63758
-0.29389,0.67235
-0.3235,0.68135
-0.2873,0.65429
-0.04649,0.30213
-0.33424,0.69212
-0.24607,0.61602
-0.31041,0.61382
-0.21956,0.59847
-0.21986,0.55029
-0.23875,0.5626
0.03437,0.19657
-0.01552,0.36096
-0.31228,0.62094
-0.16044,0.55273
-0.2069,0.64454
0.02214,0.19264
-0.10348,0.47726
-0.16683,0.51735
-0.2524,0.65097
-0.06964,0.4102
-0.21174,0.5734
-0.23251,0.61624
0.00516,0.21748
-0.06031,0.44314
-0.24812,0.63085
-0.24708,0.56205
-0.25149,0.63285
-0.11615,0.41569
-0.26097,0.63419
-0.26077,0.60252
-0.16721,0.48456
-0.26093,0.6275
-0.15678,0.47836
-0.1092,0.51327
-0.19057,0.53752
0.03472,0.06635
0.1173,0.10485
-0.1688,0.55182
-0.22449,0.641
-0.26505,0.59516
-0.18307,0.53901
-0.07622,0.4061
-0.1934,0.56979
-0.20172,0.58699
0.09781,0.19698
-0.31583,0.61287
-0.3137,0.58934
0.08858,0.15605
-0.17676,0.55152
-0.17043,0.54673
-0.20923,0.58862
-0.2969,0.60012
-0.04761,0.33411
-0.23649,0.56158
-0.17988,0.57606
-0.19239,0.59728
-0.11294,0.46962
-0.15935,0.47773
0.03555,0.22731
0.02263,0.24229
-0.1624,0.48986
0.11478,0.09212
-0.14215,0.53609
-0.23006,0.6156
-0.30074,0.61269
-0.21877,0.55449
-0.04779,0.33305
-0.00881,0.21832
-0.16904,0.55616
-0.12899,0.51128
0.07181,0.04743
-0.19317,0.57797
-0.20125,0.56503
-0.15719,0.5545
-0.30014,0.67779
-0.17587,0.59861
-0.32018,0.65433
-0.13684,0.5299
-0.00296,0.29908
-0.07032,0.35497
-0.08,0.47258
-0.37704,0.63801
-0.04396,0.33207
-0.04132,0.11036
-0.00879,0.22306
-0.12999,0.46892
